,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
64,19,Charlon Kloof,MON,9.0,8.9,2.5,8.5,0.294,0.5,4.0,0.125,1.0,1.0,1.0,3.0,6.0,0.5,5.0,5.5,4.0,1.0,1.0,6.5,G,6-3,195,30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,6.0,2.0,1.0,0.0,5.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0
65,19,Charlon Kloof,MON,9.0,8.9,2.5,8.5,0.294,0.5,4.0,0.125,1.0,1.0,1.0,3.0,6.0,0.5,5.0,5.5,4.0,1.0,1.0,6.5,G,6-3,195,30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,6.0,2.0,1.0,0.0,5.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0
67,20,Chema Gonzalez,MON,28.0,9.9,2.3,5.9,0.39,0.0,0.1,0.0,0.0,1.0,0.0,2.6,7.9,5.7,3.7,9.5,1.9,1.9,1.1,4.6,FC,6-9,203,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,8.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,8,Chris Czerapowicz,OBR,32.0,21.0,5.5,11.3,0.484,2.0,5.4,0.374,1.5,1.9,0.812,1.6,3.7,2.0,5.2,7.1,2.0,0.9,0.4,14.5,G,6-7,210,29,0.0,0.0,16.0,5.0,9.0,5.0,6.0,3.0,20.0,4.0,29.0,18.0,33.0,20.0,25.0,10.0,6.0,1.0,13.0,8.0,6.0,1.0,5.0,3.0
70,11,Christian Eyenga,MON,34.0,24.1,5.9,13.0,0.457,0.8,2.9,0.271,2.2,3.8,0.577,1.8,3.3,2.0,4.0,5.9,3.6,1.8,1.3,14.9,GF,6-7,210,31,2.0,1.0,12.0,2.0,5.0,1.0,6.0,1.0,14.0,3.0,82.0,40.0,68.0,32.0,13.0,3.0,9.0,2.0,11.0,2.0,7.0,4.0,2.0,2.0
71,1,Clevin Hannah,AND,34.0,25.0,6.5,14.3,0.459,3.0,7.3,0.41,4.6,5.1,0.89,3.6,4.1,0.4,2.4,2.8,7.3,1.2,0.0,20.7,G,5-11,165,33,1.0,1.0,7.0,3.0,9.0,2.0,5.0,1.0,43.0,20.0,49.0,27.0,46.0,21.0,68.0,27.0,10.0,4.0,9.0,5.0,7.0,5.0,2.0,1.0
72,1,Conner Frankamp,MUR,23.0,25.8,9.0,20.9,0.429,3.8,10.2,0.371,3.2,3.8,0.857,3.0,3.2,0.7,2.8,3.5,5.3,1.2,0.3,25.0,PG,6-1,169,25,0.0,0.0,11.0,5.0,10.0,3.0,19.0,10.0,58.0,26.0,50.0,25.0,56.0,28.0,47.0,13.0,10.0,3.0,8.0,3.0,7.0,3.0,3.0,2.0
73,12,Conor Morgan,JOV,31.0,19.0,5.1,11.3,0.449,2.2,5.6,0.402,2.1,2.6,0.795,2.2,5.7,1.4,5.2,6.6,1.4,0.9,0.6,14.5,FC,6-9,220,26,1.0,0.0,16.0,5.0,4.0,3.0,5.0,1.0,18.0,9.0,26.0,13.0,30.0,12.0,20.0,8.0,1.0,1.0,14.0,4.0,5.0,2.0,7.0,2.0
74,6,Cory Higgins,FCB,23.0,21.3,6.4,13.5,0.473,1.4,3.5,0.395,4.9,5.4,0.909,1.9,3.0,0.5,3.4,3.9,4.6,2.4,0.7,19.0,G,6-5,181,31,1.0,1.0,5.0,2.0,4.0,2.0,9.0,4.0,14.0,4.0,49.0,25.0,38.0,17.0,16.0,7.0,8.0,3.0,5.0,3.0,7.0,3.0,1.0,0.0
75,5,D.J. Seeley,ZAR,11.0,25.7,6.6,13.4,0.495,2.7,6.4,0.422,4.4,5.1,0.861,4.7,2.7,1.1,2.4,3.5,2.7,0.7,0.1,20.4,G,6-4,195,31,1.0,1.0,4.0,1.0,3.0,1.0,8.0,5.0,17.0,6.0,14.0,10.0,10.0,6.0,7.0,2.0,4.0,1.0,7.0,5.0,8.0,3.0,1.0,0.0
76,11,D.J. Strawberry,MUR,27.0,18.1,4.8,14.8,0.326,2.8,9.5,0.293,1.4,2.4,0.586,3.0,4.6,0.6,2.9,3.4,3.8,1.8,0.5,13.8,G,6-5,205,35,0.0,0.0,5.0,1.0,9.0,4.0,6.0,1.0,37.0,7.0,14.0,9.0,23.0,9.0,34.0,16.0,12.0,4.0,11.0,3.0,3.0,0.0,3.0,0.0
77,11,Dani Perez,MAN,24.0,24.2,4.5,13.0,0.344,2.0,6.7,0.299,2.0,2.5,0.806,4.8,4.3,0.5,2.8,3.3,10.8,1.7,0.1,13.0,PG,6-0,188,31,0.0,0.0,5.0,2.0,6.0,2.0,8.0,5.0,37.0,8.0,32.0,14.0,31.0,12.0,40.0,15.0,12.0,3.0,6.0,2.0,3.0,1.0,1.0,0.0
78,13,Daniel Diez,CAN,10.0,12.3,2.6,5.5,0.471,1.3,3.3,0.4,1.3,1.6,0.8,1.3,0.3,1.0,4.6,5.5,0.7,1.6,0.0,7.8,SF,6-8,216,27,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
