,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
38,10,Frankie Ferrari,GCN,12,19.0,0.1,0.4,.371,0.1,0.2,.390,0.0,0.1,.833,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
39,10,Frankie Ferrari,GCN,12,19.0,0.1,0.4,.371,0.1,0.2,.390,0.0,0.1,.833,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
40,10,Frankie Ferrari,GCN,12,19.0,0.1,0.4,.371,0.1,0.2,.390,0.0,0.1,.833,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
41,10,Frankie Ferrari,GCN,12,19.0,0.1,0.4,.371,0.1,0.2,.390,0.0,0.1,.833,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
42,6,Frankie Ferrari,UNI,6,16.0,0.1,0.3,.438,0.1,0.2,.400,0.0,0.0,1.000,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
43,6,Frankie Ferrari,UNI,6,16.0,0.1,0.3,.438,0.1,0.2,.400,0.0,0.0,1.000,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
44,6,Frankie Ferrari,UNI,6,16.0,0.1,0.3,.438,0.1,0.2,.400,0.0,0.0,1.000,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
45,6,Frankie Ferrari,UNI,6,16.0,0.1,0.3,.438,0.1,0.2,.400,0.0,0.0,1.000,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,G,6-1,188,25
46,4,Martynas Sajus,MAN,29,11.3,0.2,0.3,.627,0.0,0.0,.000,0.1,0.2,.787,0.1,0.2,0.1,0.2,0.3,0.0,0.0,0.0,0.6,C,6-8,247,25
47,5,Makai Mason,MAN,28,21.3,0.2,0.5,.373,0.1,0.2,.296,0.1,0.1,.836,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.5,G,6-1,185,25
48,6,Jonathan Tabu,MAN,22,16.0,0.1,0.4,.317,0.1,0.3,.320,0.1,0.1,.872,0.2,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.5,PG,6-0,194,35
49,7,Rafa Martinez,MAN,35,14.9,0.1,0.3,.465,0.1,0.2,.447,0.1,0.1,.821,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,SG,6-3,198,38
50,8,Matt Janning,MAN,14,24.4,0.1,0.3,.407,0.1,0.3,.402,0.0,0.0,.846,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,GF,6-4,198,32
51,9,Eulis Baez,MAN,25,17.8,0.1,0.2,.486,0.0,0.1,.373,0.1,0.1,.731,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.4,PF,6-7,225,38
52,10,Juan Vaulet,MAN,35,22.2,0.1,0.3,.519,0.0,0.1,.289,0.1,0.1,.661,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.3,F,6-6,200,24
53,11,Dani Perez,MAN,24,24.2,0.1,0.3,.344,0.1,0.2,.299,0.1,0.1,.806,0.1,0.1,0.0,0.1,0.1,0.3,0.0,0.0,0.3,PG,6-0,188,31
54,12,Seth Hinrichs,MAN,35,24.8,0.1,0.2,.582,0.0,0.0,.293,0.0,0.1,.630,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.3,SG,6-8,223,27
55,13,Daniel Garcia,MAN,13,13.9,0.1,0.3,.396,0.0,0.2,.281,0.0,0.0,.600,0.1,0.2,0.0,0.1,0.1,0.2,0.0,0.0,0.3,PG,6-1,176,23
56,14,Guillem Jou,MAN,23,19.9,0.1,0.2,.377,0.0,0.2,.282,0.0,0.1,.786,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.3,SG,6-6,180,23
57,15,Janari Joesaar,MAN,4,14.6,0.1,0.3,.278,0.1,0.3,.200,0.0,0.1,.333,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.2,F,6-6,208,27
58,16,Deividas Dulkys,MAN,11,14.9,0.0,0.3,.190,0.0,0.2,.182,0.0,0.0,1.000,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.2,GF,6-5,196,32
59,17,Marc Penarroya,MAN,2,7.4,0.0,0.3,.000,0.0,0.1,.000,0.1,0.1,.500,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.1,PG,5-11,178,18
60,1,Elias Harris,ZAR,17,23.1,0.2,0.3,.630,0.0,0.0,.500,0.2,0.2,.940,0.1,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.6,SF,6-8,239,31
61,2,Jake Wiley,ZAR,12,19.3,0.2,0.4,.593,0.0,0.0,.000,0.1,0.1,.767,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.6,F,6-8,220,26
62,2,Jake Wiley,ZAR,12,19.3,0.2,0.4,.593,0.0,0.0,.000,0.1,0.1,.767,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.6,F,6-8,220,26
63,7,Jake Wiley,GCN,11,22.3,0.2,0.4,.505,0.0,0.1,.357,0.0,0.1,.611,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.4,F,6-8,220,26
64,7,Jake Wiley,GCN,11,22.3,0.2,0.4,.505,0.0,0.1,.357,0.0,0.1,.611,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.4,F,6-8,220,26
65,3,Dylan Ennis,ZAR,34,29.4,0.2,0.4,.491,0.1,0.2,.335,0.1,0.1,.763,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.6,G,6-2,195,29
66,4,Sagaba Konate,ZAR,6,4.5,0.1,0.3,.500,0.0,0.0,.000,0.2,0.3,.667,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.5,PF,6-7,260,23
67,5,D.J. Seeley,ZAR,11,25.7,0.2,0.3,.495,0.1,0.2,.422,0.1,0.1,.861,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.5,G,6-4,195,31
