,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
69,9,Gustav Knudsen,ZAR,2,2.3,8.8,26.3,.333,0.0,0.0,.000,0.0,0.0,.000,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,G,6-8,-,17
70,10,Aleix Font,ZAR,8,4.6,6.6,15.3,.429,3.3,4.4,.750,1.1,1.1,1.000,1.1,9.8,4.4,1.1,5.5,0.0,1.1,0.0,17.5,SG,6-4,188,22
71,11,Tryggvi Hlinason,ZAR,34,17.7,7.2,9.7,.740,0.0,0.1,.000,2.4,3.9,.610,2.6,5.0,3.6,7.6,11.2,1.6,1.0,2.4,16.8,C,7-1,260,23
72,12,Jonathan Barreiro,ZAR,34,22.6,5.6,12.1,.466,2.1,5.9,.363,2.8,3.5,.779,1.8,2.9,2.6,5.1,7.6,1.8,0.8,0.3,16.2,SF,6-8,200,24
73,13,Rasheed Sulaimon,ZAR,26,20.2,5.1,12.6,.406,1.9,5.4,.352,2.4,3.1,.780,2.4,4.3,0.5,3.3,3.8,4.2,0.9,0.2,14.5,SG,6-4,194,26
74,14,Luka Rupnik,ZAR,6,13.3,3.5,9.0,.389,2.5,5.0,.500,4.0,6.0,.667,3.5,4.0,1.0,3.5,4.5,8.0,1.0,0.0,13.5,PG,6-1,157,27
75,15,T.J. Bray,ZAR,11,24.2,4.7,11.1,.419,2.4,6.6,.364,0.8,0.9,.833,2.7,4.5,1.2,3.3,4.5,3.6,1.8,0.0,12.5,G,6-5,207,28
76,16,Javi Garcia,ZAR,24,8.7,3.5,9.4,.367,1.9,5.8,.333,1.9,2.3,.833,1.7,7.9,0.8,2.3,3.1,3.8,0.8,0.0,10.8,SG,6-3,-,19
77,17,Javier Justiz,ZAR,12,7.2,4.2,12.6,.333,0.0,0.5,.000,1.4,1.4,1.000,4.2,5.6,1.4,5.6,7.0,1.9,0.9,1.4,9.8,C,6-9,210,28
78,18,Rodrigo San Miguel,ZAR,23,21.6,2.7,6.7,.405,1.7,4.8,.350,0.5,1.3,.375,2.7,4.2,0.6,4.7,5.3,6.7,1.6,0.1,7.6,PG,6-3,194,36
79,19,Jaime Fernandez,ZAR,6,3.2,2.1,6.2,.333,0.0,2.1,.000,2.1,6.2,.333,6.2,12.4,0.0,4.1,4.1,2.1,4.1,0.0,6.2,C,6-8,209,20
80,19,Jaime Fernandez,ZAR,6,3.2,2.1,6.2,.333,0.0,2.1,.000,2.1,6.2,.333,6.2,12.4,0.0,4.1,4.1,2.1,4.1,0.0,6.2,PG,6-2,178,27
81,3,Jaime Fernandez,UNI,25,22.0,6.6,15.1,.440,2.0,5.5,.373,4.0,5.1,.786,3.7,4.4,0.4,2.5,3.0,7.2,1.8,0.1,19.3,C,6-8,209,20
82,3,Jaime Fernandez,UNI,25,22.0,6.6,15.1,.440,2.0,5.5,.373,4.0,5.1,.786,3.7,4.4,0.4,2.5,3.0,7.2,1.8,0.1,19.3,PG,6-2,178,27
83,20,Vit Krejci,ZAR,2,5.9,0.0,6.8,.000,0.0,3.4,.000,0.0,0.0,.000,0.0,3.4,0.0,3.4,3.4,3.4,0.0,0.0,0.0,PG,6-8,195,20
84,1,Zsombor Maronka,JOV,2,3.0,13.3,13.3,1.000,0.0,0.0,.000,0.0,0.0,.000,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,PF,6-10,196,18
85,2,Ante Tomic,JOV,34,23.0,9.1,16.7,.545,0.1,0.3,.200,4.6,6.1,.750,3.7,2.8,4.2,6.6,10.7,3.7,1.1,0.2,22.8,C,7-1,225,34
86,3,Xabier Lopez-Arostegui,JOV,24,25.4,6.3,12.9,.487,2.6,6.4,.412,6.2,6.4,.969,2.1,3.1,1.8,6.4,8.1,1.0,1.9,0.0,21.4,GF,6-7,215,23
87,4,Nenad Dimitrijevic,JOV,31,20.3,7.9,17.4,.454,1.5,5.6,.273,3.3,4.5,.743,4.9,3.9,0.6,2.4,2.9,6.8,1.1,0.3,20.6,PG,6-1,174,23
88,4,Nenad Dimitrijevic,JOV,31,20.3,7.9,17.4,.454,1.5,5.6,.273,3.3,4.5,.743,4.9,3.9,0.6,2.4,2.9,6.8,1.1,0.3,20.6,PG,6-1,174,23
89,5,Vladimir Brodziansky,JOV,34,19.9,6.2,11.6,.536,2.1,4.7,.443,5.4,6.9,.778,2.0,3.6,1.4,4.9,6.3,1.6,0.4,1.7,19.9,PF,6-11,230,26
90,6,Demetrius Jackson,JOV,2,12.5,3.2,9.6,.333,3.2,4.8,.667,8.0,9.6,.833,6.4,6.4,0.0,1.6,1.6,0.0,0.0,0.0,17.6,G,6-1,200,26
91,7,Pau Ribas,JOV,28,23.7,6.0,13.8,.432,3.3,7.6,.437,2.3,2.8,.848,3.2,2.6,0.7,2.0,2.7,6.8,1.0,0.1,17.6,SG,6-3,165,33
92,8,Simon Birgander,JOV,34,14.3,7.4,10.2,.726,0.0,0.0,.000,2.6,3.2,.795,1.8,6.2,3.3,6.2,9.5,1.8,1.2,1.8,17.4,FC,6-11,208,23
93,9,Arnau Parrado,JOV,9,3.3,6.7,14.6,.455,1.3,4.0,.333,2.7,6.7,.400,1.3,10.6,1.3,9.3,10.6,1.3,1.3,0.0,17.3,C,6-9,220,20
94,10,Arturs Zagars,JOV,12,4.8,4.9,14.0,.350,2.1,7.0,.300,3.5,4.2,.833,3.5,10.5,1.4,2.1,3.5,6.3,1.4,0.0,15.4,PG,6-3,172,20
95,11,Ferran Bassas,JOV,34,24.4,5.2,11.3,.462,2.8,6.8,.407,2.0,2.2,.891,4.4,3.9,0.9,2.7,3.6,7.9,1.5,0.0,15.2,PG,6-0,188,28
96,12,Conor Morgan,JOV,31,19.0,5.1,11.3,.449,2.2,5.6,.402,2.1,2.6,.795,2.2,5.7,1.4,5.2,6.6,1.4,0.9,0.6,14.5,FC,6-9,220,26
97,13,Shawn Dawson,JOV,21,10.1,5.3,14.7,.359,1.5,6.6,.229,1.5,2.5,.615,3.6,6.6,1.1,5.9,7.0,2.3,1.5,0.8,13.6,F,6-6,205,27
98,14,Joel Parra,JOV,34,13.5,4.4,8.7,.500,1.2,3.0,.412,1.9,2.4,.815,1.2,3.9,2.8,5.8,8.6,0.8,1.3,0.3,11.9,F,6-8,210,20
99,15,Albert Ventura,JOV,32,23.8,3.5,6.7,.516,2.1,4.4,.482,1.3,1.9,.694,1.3,3.7,1.5,3.1,4.5,2.0,2.3,0.2,10.4,SG,6-5,180,28
100,16,Roger Marti,JOV,1,1.7,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG,5-11,162,19
101,17,Yannick Kraag,JOV,2,1.2,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,6-7,178,18
102,18,Miguel Montesdeoca,JOV,1,2.5,0.0,31.8,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,15.9,15.9,0.0,15.9,0.0,0.0,0.0,0.0,F,6-7,-,17
103,1,Ryan Harrow,BETIS,7,14.2,9.3,18.1,.511,1.2,3.6,.333,2.8,3.2,.875,2.8,4.4,0.8,2.0,2.8,5.2,2.8,0.0,22.6,G,6-2,160,29
104,2,James Feldeine,BETIS,34,26.9,8.1,19.1,.423,2.9,8.6,.340,3.0,3.8,.802,2.7,2.4,0.7,2.7,3.5,3.8,1.8,0.3,22.1,SG,6-4,190,32
105,3,Youssoupha Ndoye,BETIS,34,21.0,7.0,12.5,.563,0.0,0.1,.000,8.0,12.0,.671,3.9,4.8,3.9,5.8,9.8,1.0,1.6,1.3,22.1,C,7-0,250,29
106,4,Dzherom Rendl,BETIS,20,16.6,8.2,18.7,.439,2.2,6.5,.333,3.3,3.9,.844,5.5,4.3,0.1,2.4,2.5,5.4,1.2,0.0,21.8,G,5-10,172,33
107,5,Yakuba Ouattara,BETIS,28,22.3,6.3,14.7,.432,2.0,6.3,.316,1.6,1.9,.833,1.5,2.6,3.0,4.5,7.6,1.0,1.7,0.1,16.3,SG,6-4,220,29
108,6,Jerome Jordan,BETIS,20,15.6,5.5,11.4,.483,0.0,0.0,.000,3.8,5.4,.714,2.7,4.7,3.1,6.9,10.0,2.0,1.2,1.5,14.8,C,7-0,253,34
109,7,T.J. Campbell,BETIS,34,23.8,4.7,11.4,.417,2.4,6.9,.345,3.0,3.5,.845,3.4,4.5,0.6,2.4,3.0,5.7,1.9,0.0,14.8,G,5-9,190,33
110,8,Tobias Borg,BETIS,33,17.5,4.4,10.6,.412,1.7,4.8,.357,2.3,2.6,.868,2.1,4.6,1.2,2.6,3.7,2.6,1.3,0.3,12.7,PG,6-0,162,27
111,9,Mamadou Niang,BETIS,13,13.4,5.5,8.5,.649,0.0,0.2,.000,1.6,4.6,.350,2.5,4.6,3.2,6.6,9.9,1.4,0.5,0.9,12.6,C,6-10,235,27
