,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
139,Jonathan Barreiro,ZAR,34,22.6,3.2,6.8,0.466,1.2,3.3,0.363,1.6,2.0,0.779,1.0,1.6,1.4,2.9,4.3,1.0,0.4,0.2,9.1,SF,2.0726402,200,24,2.0,1.0,10.0,3.0,13.0,4.0,3.0,1.0,19.0,5.0,52.0,34.0,46.0,22.0,30.0,17.0,2.0,1.0,23.0,4.0,8.0,3.0,5.0,1.0,Big-Guys
140,Jonathan Rousselle,BBB,27,24.5,3.2,6.9,0.468,1.3,3.6,0.354,2.3,2.8,0.827,2.2,3.1,0.3,1.6,1.9,4.2,0.9,0.0,10.0,PG,1.92024,185,31,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,11.0,38.0,22.0,41.0,25.0,43.0,20.0,4.0,1.0,7.0,2.0,1.0,0.0,3.0,0.0,Playmakers
141,Jonathan Tabu,MAN,22,16.0,2.0,6.5,0.317,1.4,4.4,0.32,1.9,2.1,0.872,2.5,2.2,0.3,1.2,1.5,3.5,0.7,0.0,7.4,PG,1.8288,194,35,1.0,0.0,3.0,1.0,4.0,2.0,9.0,3.0,43.0,15.0,14.0,3.0,10.0,6.0,31.0,8.0,9.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,Playmakers
142,Jordan Davis,MUR,32,21.7,4.2,10.2,0.416,0.4,1.8,0.25,2.5,3.7,0.664,2.2,2.5,0.6,1.2,1.8,2.2,1.1,0.2,11.4,PG,1.88976,185,23,1.0,0.0,9.0,2.0,5.0,1.0,19.0,7.0,14.0,3.0,93.0,46.0,107.0,44.0,19.0,6.0,15.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,Elite-Scorers
148,Jovan Novak,MON,16,21.8,2.6,5.8,0.452,1.4,3.8,0.367,1.2,1.8,0.655,1.8,1.7,0.3,1.6,1.9,3.6,0.6,0.0,7.8,G,1.92024,187,26,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,21.0,6.0,11.0,5.0,18.0,12.0,23.0,14.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,Role-Players
149,Juan Vaulet,MAN,35,22.2,3.1,6.0,0.519,0.4,1.3,0.289,1.1,1.7,0.661,1.0,2.5,1.3,2.7,3.9,1.0,0.6,0.4,7.7,F,2.01168,200,24,3.0,1.0,16.0,6.0,3.0,1.0,4.0,1.0,7.0,1.0,52.0,29.0,59.0,30.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,0.0,8.0,3.0,Big-Guys
151,Kartal Ozmizrak,OBR,15,19.5,2.4,5.7,0.424,1.3,3.6,0.37,1.5,1.6,0.917,1.4,2.9,0.0,1.5,1.5,2.1,0.7,0.1,7.6,PG,1.88976,163,25,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,15.0,5.0,10.0,4.0,7.0,6.0,18.0,4.0,3.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,Role-Players
152,Kassius Robertson,OBR,31,27.1,4.9,11.7,0.419,2.8,6.7,0.411,2.6,3.5,0.745,2.0,1.4,0.4,1.4,1.7,2.7,0.8,0.1,15.2,G,1.92024,180,26,3.0,3.0,14.0,7.0,10.0,2.0,17.0,9.0,76.0,31.0,48.0,20.0,40.0,17.0,48.0,19.0,18.0,7.0,26.0,14.0,13.0,3.0,5.0,1.0,Playmakers
153,Ken Horton,SPB,32,22.4,3.2,7.0,0.458,1.5,4.0,0.37,0.4,0.6,0.722,0.7,1.9,0.8,3.6,4.4,1.1,1.2,0.2,8.3,F,2.01168,190,31,0.0,0.0,16.0,7.0,17.0,7.0,4.0,1.0,34.0,11.0,36.0,21.0,28.0,14.0,26.0,9.0,3.0,1.0,19.0,7.0,5.0,1.0,2.0,1.0,Playmakers
155,Klemen Prepelic,VAL,32,20.5,3.6,7.8,0.458,1.6,4.6,0.34,2.7,2.8,0.955,1.7,2.0,0.3,1.5,1.8,2.7,0.7,0.0,11.4,SG,1.92024,170,28,1.0,0.0,9.0,5.0,8.0,5.0,12.0,6.0,49.0,16.0,44.0,30.0,39.0,25.0,38.0,9.0,1.0,0.0,17.0,7.0,7.0,1.0,4.0,2.0,Playmakers
