,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
156,"Kwan Cheatham, Jr.",MON,16,18.7,2.2,5.4,0.414,1.4,3.4,0.4,0.4,0.5,0.875,0.5,1.7,0.6,2.2,2.8,0.4,0.6,0.2,6.3,F,1.85928,235,25,0.0,0.0,3.0,1.0,7.0,2.0,6.0,1.0,21.0,5.0,13.0,9.0,10.0,2.0,8.0,4.0,1.0,0.0,6.0,5.0,3.0,1.0,2.0,2.0,Role-Players
157,Kyle Alexander,MON,22,22.0,3.7,6.2,0.603,0.3,0.6,0.462,1.6,2.4,0.66,1.3,2.6,2.8,3.8,6.5,0.4,0.5,1.1,9.3,PF,1.85928,216,24,0.0,0.0,3.0,0.0,0.0,0.0,9.0,6.0,5.0,2.0,46.0,22.0,35.0,22.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,Big-Guys
158,Kyle Kuric,FCB,30,17.4,2.9,5.6,0.515,1.4,3.1,0.441,1.6,1.7,0.904,0.7,1.1,0.5,1.1,1.7,0.6,0.6,0.1,8.7,SG,1.9507201,195,31,4.0,2.0,9.0,5.0,6.0,2.0,15.0,7.0,28.0,13.0,22.0,11.0,22.0,16.0,33.0,14.0,12.0,8.0,6.0,2.0,5.0,3.0,1.0,0.0,Playmakers
159,Laurynas Beliauskas,OBR,34,18.5,2.6,6.3,0.413,1.3,4.0,0.324,0.8,1.1,0.737,1.1,1.6,0.3,1.2,1.5,1.6,0.6,0.1,7.3,G,1.9507201,175,23,0.0,0.0,11.0,4.0,8.0,2.0,15.0,8.0,31.0,9.0,27.0,14.0,18.0,10.0,37.0,12.0,9.0,7.0,12.0,4.0,9.0,2.0,6.0,1.0,Playmakers
160,Laurynas Birutis,OBR,30,20.5,3.7,6.2,0.597,0.0,0.0,0.0,3.0,4.2,0.714,1.6,1.9,1.8,3.4,5.2,0.6,0.5,0.8,10.4,C,2.16408,242,23,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,33.0,78.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Big-Guys
161,Leandro Bolmaro,FCB,31,15.2,1.9,3.8,0.508,0.7,1.5,0.457,1.5,1.7,0.885,1.2,1.5,0.4,1.0,1.4,1.8,0.8,0.2,6.0,SG,2.04216,182,20,2.0,1.0,9.0,5.0,1.0,1.0,4.0,2.0,7.0,5.0,19.0,9.0,19.0,7.0,19.0,10.0,8.0,5.0,8.0,2.0,3.0,2.0,0.0,0.0,Role-Players
162,Leo Westermann,FCB,15,15.2,1.4,3.9,0.356,0.8,2.4,0.333,0.3,0.4,0.667,1.3,1.7,0.3,1.1,1.4,2.9,0.3,0.0,3.9,SF,2.01168,197,28,1.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,12.0,5.0,11.0,7.0,3.0,0.0,14.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,Role-Players
163,Leonardo Meindl,MON,34,25.8,4.1,9.3,0.445,0.6,2.4,0.263,2.2,3.3,0.67,1.8,2.8,2.1,3.8,5.8,1.6,1.5,0.1,11.1,SF,2.04216,200,27,3.0,1.0,10.0,2.0,7.0,1.0,8.0,2.0,22.0,9.0,92.0,41.0,95.0,53.0,19.0,4.0,10.0,4.0,10.0,3.0,7.0,0.0,4.0,0.0,Elite-Scorers
164,Louis Labeyrie,VAL,29,23.4,3.4,5.6,0.621,1.1,2.2,0.492,1.2,1.7,0.714,0.8,0.7,1.2,3.8,5.0,0.6,0.6,0.4,9.2,PF,1.85928,200,29,0.0,0.0,15.0,7.0,3.0,2.0,3.0,1.0,8.0,4.0,25.0,19.0,30.0,19.0,23.0,9.0,1.0,0.0,6.0,3.0,9.0,8.0,3.0,2.0,Role-Players
165,Luca Vildoza,CAJ,27,23.5,3.6,8.6,0.42,1.6,4.5,0.355,2.1,2.6,0.829,2.3,1.4,0.3,1.4,1.7,3.7,1.6,0.1,10.9,PG,1.92024,190,25,1.0,1.0,18.0,5.0,4.0,1.0,11.0,3.0,39.0,14.0,28.0,16.0,41.0,22.0,41.0,16.0,14.0,7.0,8.0,2.0,6.0,2.0,3.0,0.0,Playmakers
166,Lucas Faggiano,GBC,34,24.2,2.9,7.0,0.408,1.0,2.6,0.367,1.0,1.4,0.688,1.8,2.2,0.4,1.7,2.1,3.5,1.0,0.1,7.6,G,1.88976,185,31,1.0,1.0,5.0,1.0,6.0,2.0,18.0,5.0,25.0,12.0,51.0,27.0,48.0,26.0,40.0,11.0,10.0,1.0,8.0,4.0,4.0,0.0,0.0,0.0,Playmakers
167,Ludde Hakanson,BBB,24,21.9,2.8,7.3,0.383,1.2,3.4,0.346,1.0,1.2,0.821,2.0,1.9,0.4,1.6,2.0,3.1,0.7,0.2,7.7,PG,1.92024,184,24,1.0,1.0,5.0,0.0,0.0,0.0,10.0,7.0,31.0,14.0,27.0,9.0,25.0,11.0,32.0,5.0,9.0,3.0,2.0,0.0,9.0,5.0,0.0,0.0,Playmakers
168,Makai Mason,MAN,28,21.3,3.7,10.0,0.373,1.4,4.8,0.296,1.8,2.2,0.836,1.8,2.5,0.2,0.9,1.1,2.2,0.5,0.1,10.7,G,1.85928,185,25,1.0,0.0,10.0,5.0,9.0,2.0,9.0,3.0,42.0,11.0,37.0,19.0,62.0,30.0,48.0,14.0,7.0,2.0,13.0,4.0,11.0,4.0,2.0,1.0,Playmakers
170,Malcolm Thomas,UNI,12,19.9,2.7,4.7,0.571,0.0,0.2,0.0,1.4,1.7,0.85,0.9,3.0,2.2,2.8,5.1,1.2,0.7,0.8,6.8,F,2.10312,225,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,18.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
171,Malik Dime,AND,18,13.5,2.2,3.8,0.565,0.0,0.1,0.0,1.4,1.9,0.714,1.2,2.4,1.3,1.9,3.2,0.1,0.6,1.8,5.7,PF,2.10312,220,28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,7.0,18.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
172,Mamadou Niang,BETIS,13,13.4,1.8,2.8,0.649,0.0,0.1,0.0,0.5,1.5,0.35,0.8,1.5,1.1,2.2,3.3,0.5,0.2,0.3,4.2,C,1.85928,235,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
173,Marc Garcia,MON,25,18.5,3.3,7.8,0.428,1.3,3.3,0.39,2.4,2.8,0.843,1.2,1.4,0.6,1.4,2.1,0.7,0.6,0.1,10.3,GF,2.01168,180,24,3.0,0.0,9.0,4.0,7.0,4.0,2.0,1.0,26.0,5.0,45.0,23.0,46.0,18.0,23.0,10.0,5.0,4.0,10.0,5.0,4.0,2.0,4.0,3.0,Big-Guys
174,Marcelinho Huertas,CAN,33,25.7,5.5,10.6,0.519,1.2,2.6,0.437,2.1,2.2,0.919,2.6,1.5,0.4,1.6,2.0,6.2,0.7,0.0,14.2,PG,1.92024,200,37,0.0,0.0,21.0,10.0,5.0,1.0,41.0,18.0,24.0,14.0,61.0,32.0,69.0,43.0,34.0,15.0,33.0,19.0,6.0,3.0,10.0,3.0,2.0,0.0,Elite-Scorers
176,Martin Hermannsson,VAL,30,16.9,2.5,5.8,0.431,0.8,2.1,0.381,1.6,1.7,0.923,1.4,2.2,0.3,1.1,1.4,2.8,0.6,0.0,7.4,G,1.92024,170,26,0.0,0.0,6.0,1.0,2.0,1.0,11.0,5.0,21.0,9.0,34.0,16.0,54.0,26.0,22.0,7.0,6.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,Big-Guys
177,Martynas Sajus,MAN,29,11.3,2.4,3.8,0.627,0.0,0.0,0.0,1.7,2.1,0.787,1.1,1.9,1.4,1.7,3.2,0.4,0.1,0.2,6.4,C,2.0726402,247,25,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,38.0,24.0,41.0,27.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,Big-Guys
178,Matt Costello,GCN,27,23.4,4.9,9.8,0.496,1.3,3.4,0.376,1.4,1.9,0.712,1.3,2.9,2.0,3.8,5.8,1.3,0.4,1.1,12.4,C,2.10312,245,27,0.0,0.0,5.0,4.0,8.0,3.0,5.0,2.0,31.0,8.0,62.0,33.0,62.0,29.0,26.0,12.0,1.0,0.0,7.0,1.0,5.0,2.0,1.0,1.0,Big-Guys
179,Matt Janning,MAN,14,24.4,3.4,8.4,0.407,2.5,6.2,0.402,0.8,0.9,0.846,1.0,1.4,0.3,2.0,2.3,2.1,0.5,0.1,10.1,GF,1.9507201,198,32,2.0,1.0,5.0,0.0,8.0,5.0,2.0,0.0,23.0,12.0,9.0,4.0,7.0,3.0,27.0,9.0,4.0,2.0,8.0,4.0,2.0,0.0,0.0,0.0,Role-Players
180,Melo Trimble,MON,32,28.0,5.0,11.8,0.426,1.9,5.8,0.335,4.8,5.6,0.866,3.1,2.5,0.2,2.1,2.3,3.3,1.4,0.1,16.8,G,1.92024,195,26,1.0,0.0,3.0,1.0,9.0,2.0,6.0,1.0,55.0,23.0,89.0,50.0,76.0,35.0,92.0,30.0,12.0,6.0,11.0,4.0,1.0,1.0,3.0,1.0,Elite-Scorers
181,Mike Carlson,GBC,17,16.2,2.4,5.4,0.435,0.8,2.8,0.298,0.4,0.8,0.538,0.6,2.1,0.8,1.5,2.3,0.6,0.5,0.2,5.9,PF,2.10312,200,29,1.0,0.0,4.0,3.0,2.0,1.0,5.0,0.0,6.0,1.0,20.0,14.0,11.0,7.0,22.0,8.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0,Role-Players
182,Mike Daum,OBR,28,21.2,3.5,8.0,0.44,1.2,3.4,0.372,1.7,2.1,0.797,1.4,2.4,1.2,3.1,4.4,0.5,0.6,0.2,10.0,F,2.10312,235,25,0.0,0.0,14.0,7.0,4.0,1.0,3.0,2.0,26.0,8.0,40.0,19.0,41.0,21.0,21.0,6.0,5.0,1.0,10.0,5.0,9.0,3.0,2.0,1.0,Big-Guys
183,Mike Tobey,VAL,33,18.7,4.1,6.6,0.624,0.8,1.9,0.403,0.9,1.3,0.714,1.0,1.8,1.3,3.3,4.6,0.9,0.4,0.4,9.9,C,2.1336,260,26,0.0,0.0,5.0,3.0,1.0,0.0,2.0,1.0,27.0,8.0,39.0,24.0,40.0,24.0,27.0,12.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,Big-Guys
186,Miquel Salvo,SPB,32,14.9,1.6,3.5,0.446,0.6,1.7,0.345,0.8,1.0,0.774,0.4,1.8,0.6,1.5,2.1,0.4,0.5,0.1,4.5,F,2.10312,198,26,2.0,0.0,6.0,4.0,12.0,6.0,2.0,2.0,8.0,3.0,21.0,12.0,28.0,15.0,8.0,3.0,1.0,0.0,11.0,1.0,2.0,0.0,1.0,0.0,Role-Players
188,Nacho Llovet,AND,24,15.8,1.6,3.2,0.506,0.1,0.5,0.182,0.7,0.9,0.727,0.4,1.8,1.5,2.2,3.8,0.9,0.5,0.2,4.0,FC,2.0726402,225,29,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,33.0,19.0,26.0,13.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,Role-Players
189,Nemanja Djurisic,EST,33,17.9,2.4,5.3,0.454,0.8,2.4,0.35,0.5,0.7,0.708,1.0,2.1,0.9,2.4,3.2,0.8,0.4,0.2,6.2,F,2.0726402,230,29,2.0,1.0,7.0,4.0,6.0,1.0,1.0,0.0,20.0,9.0,34.0,17.0,37.0,22.0,17.0,5.0,0.0,0.0,10.0,1.0,7.0,2.0,6.0,2.0,Big-Guys
190,Nemanja Radovic,MUR,34,20.4,4.1,7.9,0.515,0.4,1.7,0.259,1.4,2.3,0.615,1.3,2.1,1.9,2.9,4.8,0.6,0.6,0.4,10.0,PF,2.0726402,215,29,1.0,0.0,12.0,4.0,4.0,2.0,3.0,2.0,21.0,6.0,82.0,52.0,88.0,52.0,15.0,5.0,5.0,1.0,7.0,1.0,5.0,3.0,1.0,0.0,Elite-Scorers
191,Nenad Dimitrijevic,JOV,31,20.3,4.0,8.8,0.454,0.8,2.8,0.273,1.7,2.3,0.743,2.5,2.0,0.3,1.2,1.5,3.5,0.6,0.1,10.5,PG,1.85928,174,23,0.0,0.0,11.0,3.0,4.0,2.0,6.0,2.0,30.0,9.0,74.0,41.0,69.0,41.0,23.0,4.0,5.0,2.0,5.0,1.0,11.0,6.0,2.0,0.0,Elite-Scorers
193,Nicholas Kay,BETIS,34,27.2,3.2,6.6,0.482,0.5,1.8,0.29,1.1,1.4,0.83,0.7,1.6,2.2,3.4,5.7,1.2,1.0,0.3,8.1,F,2.10312,230,28,1.0,1.0,11.0,1.0,2.0,1.0,6.0,2.0,21.0,7.0,61.0,38.0,70.0,37.0,17.0,4.0,4.0,2.0,4.0,2.0,11.0,2.0,1.0,1.0,Big-Guys
194,Nick Calathes,FCB,32,19.5,3.2,6.7,0.472,0.8,2.1,0.403,0.6,1.0,0.576,1.8,2.3,0.6,2.4,2.9,5.3,1.1,0.1,7.8,PG,2.01168,213,32,1.0,0.0,5.0,3.0,0.0,0.0,10.0,4.0,23.0,10.0,50.0,27.0,70.0,36.0,27.0,11.0,6.0,2.0,1.0,1.0,5.0,1.0,3.0,0.0,Big-Guys
195,Nick Spires,BETIS,21,10.1,1.3,3.0,0.429,0.2,0.8,0.235,0.3,0.5,0.7,0.5,1.6,1.0,1.4,2.3,0.5,0.2,0.4,3.1,F,2.10312,215,27,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,8.0,0.0,19.0,8.0,13.0,8.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,Role-Players
196,Nicolas Brussino,ZAR,34,25.0,3.8,7.6,0.5,1.6,3.8,0.431,1.9,2.4,0.825,2.3,2.9,0.6,3.1,3.7,2.8,1.2,0.1,11.2,G,2.0726402,195,27,1.0,1.0,17.0,7.0,12.0,8.0,7.0,3.0,37.0,20.0,39.0,16.0,43.0,28.0,34.0,8.0,4.0,2.0,12.0,4.0,3.0,1.0,4.0,3.0,Playmakers
197,Nicolas Laprovittola,RMB,29,20.5,3.0,6.8,0.449,1.8,4.3,0.427,1.5,1.7,0.86,1.5,1.9,0.2,2.3,2.5,3.8,0.4,0.0,9.4,PG,1.9507201,180,31,2.0,1.0,3.0,3.0,5.0,1.0,4.0,3.0,46.0,20.0,26.0,11.0,25.0,14.0,41.0,17.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,Playmakers
198,Nikola Kalinic,VAL,33,22.9,3.4,6.2,0.541,0.7,1.8,0.39,2.2,2.7,0.807,1.3,2.3,0.9,2.7,3.6,2.8,0.8,0.2,9.6,F,2.0726402,222,29,0.0,0.0,10.0,5.0,1.0,1.0,4.0,1.0,18.0,8.0,62.0,38.0,50.0,32.0,14.0,3.0,7.0,5.0,3.0,1.0,8.0,4.0,1.0,0.0,Big-Guys
199,Nikola Mirotic,FCB,28,20.9,5.1,8.6,0.6,1.8,3.7,0.485,2.7,3.3,0.806,1.6,1.5,1.0,4.1,5.0,0.8,0.9,0.5,14.8,F,1.85928,250,30,2.0,0.0,15.0,8.0,4.0,2.0,5.0,2.0,28.0,17.0,53.0,37.0,54.0,38.0,26.0,9.0,4.0,2.0,17.0,9.0,6.0,4.0,3.0,2.0,Big-Guys
200,Obi Emegano,MON,33,24.2,3.7,9.1,0.405,0.9,3.1,0.294,1.5,2.1,0.7,1.2,2.4,0.8,2.0,2.8,1.2,1.2,0.0,9.8,GF,1.92024,215,27,1.0,1.0,11.0,3.0,18.0,6.0,30.0,11.0,25.0,7.0,65.0,31.0,48.0,25.0,23.0,4.0,15.0,5.0,17.0,6.0,12.0,5.0,6.0,2.0,Big-Guys
201,Obi Enechionyia,BETIS,15,11.4,1.1,3.1,0.34,0.6,2.1,0.281,0.7,0.9,0.786,1.1,1.8,0.8,1.6,2.4,0.3,0.7,0.6,3.5,FC,1.85928,220,25,4.0,1.0,3.0,1.0,5.0,2.0,0.0,0.0,6.0,2.0,7.0,2.0,5.0,3.0,6.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,Role-Players
202,Olek Balcerowski,GCN,28,11.6,2.0,3.5,0.577,0.2,0.5,0.429,1.0,1.6,0.609,1.1,2.6,0.9,1.5,2.4,0.5,0.2,0.6,5.2,C,2.16408,230,20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,35.0,18.0,22.0,12.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
203,Oliver Stevic,GCN,23,13.5,2.2,3.0,0.714,0.0,0.0,0.0,1.3,1.8,0.738,0.7,2.1,1.1,1.5,2.6,0.5,0.5,0.1,5.7,FC,1.85928,220,37,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,44.0,26.0,48.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Big-Guys
205,Omar Cook,SPB,32,22.1,1.5,4.5,0.338,1.2,3.3,0.346,0.7,0.9,0.724,1.6,2.4,0.2,1.2,1.4,5.8,1.2,0.0,4.9,PG,1.88976,190,39,0.0,0.0,4.0,0.0,5.0,2.0,8.0,2.0,30.0,14.0,13.0,5.0,10.0,4.0,46.0,13.0,6.0,1.0,7.0,4.0,1.0,0.0,2.0,1.0,Playmakers
206,Ondrej Balvin,BBB,23,25.2,4.5,6.9,0.658,0.0,0.0,0.0,2.7,3.7,0.733,2.2,2.3,3.2,5.3,8.5,1.4,0.4,1.3,11.8,C,2.16408,215,28,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,40.0,22.0,42.0,19.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,Big-Guys
207,Oriol Pauli,AND,33,21.8,2.7,6.2,0.427,0.5,2.3,0.227,1.5,1.9,0.778,1.5,1.9,0.8,3.1,3.9,2.1,0.7,0.2,7.3,GF,2.04216,185,26,2.0,1.0,4.0,1.0,7.0,2.0,1.0,0.0,22.0,2.0,43.0,26.0,60.0,30.0,22.0,8.0,3.0,1.0,12.0,3.0,1.0,0.0,1.0,0.0,Big-Guys
208,Pablo Almazan,BETIS,32,19.3,1.0,3.2,0.298,0.5,1.7,0.291,0.9,1.1,0.8,0.8,1.9,0.8,2.0,2.8,1.1,0.8,0.1,3.3,SF,1.9812,190,32,0.0,0.0,5.0,4.0,7.0,3.0,4.0,1.0,13.0,6.0,19.0,5.0,16.0,8.0,8.0,1.0,7.0,1.0,14.0,0.0,4.0,1.0,1.0,0.0,Role-Players
209,Pau Ribas,JOV,28,23.7,3.5,8.2,0.432,2.0,4.5,0.437,1.4,1.6,0.848,1.9,1.5,0.4,1.2,1.6,4.0,0.6,0.1,10.4,SG,1.92024,165,33,1.0,0.0,8.0,4.0,5.0,1.0,17.0,8.0,28.0,12.0,30.0,14.0,31.0,16.0,53.0,25.0,8.0,3.0,9.0,3.0,7.0,2.0,2.0,0.0,Playmakers
210,Pepe Pozas,OBR,20,23.5,1.7,4.7,0.362,0.8,3.3,0.258,1.1,1.4,0.759,2.0,2.7,0.5,2.2,2.7,4.6,1.3,0.1,5.3,PG,1.8288,187,28,1.0,0.0,5.0,0.0,6.0,3.0,1.0,0.0,16.0,7.0,18.0,13.0,6.0,2.0,18.0,3.0,1.0,0.0,4.0,2.0,2.0,1.0,3.0,0.0,Role-Players
211,Pere Tomas,GBC,32,25.5,2.9,7.1,0.41,1.5,4.2,0.351,0.8,1.0,0.818,0.9,1.8,1.6,3.3,4.8,1.0,0.7,0.0,8.1,SF,2.01168,198,31,4.0,1.0,13.0,6.0,18.0,7.0,5.0,1.0,29.0,10.0,26.0,12.0,30.0,19.0,33.0,10.0,5.0,1.0,20.0,8.0,10.0,4.0,5.0,3.0,Playmakers
212,Peter Jok,MUR,22,16.0,2.5,5.4,0.458,1.0,2.5,0.426,0.6,0.7,0.875,0.9,2.0,0.3,1.8,2.1,0.3,0.5,0.1,6.6,G,2.01168,205,26,0.0,0.0,11.0,4.0,5.0,4.0,15.0,6.0,17.0,6.0,7.0,7.0,18.0,10.0,14.0,8.0,12.0,3.0,9.0,2.0,6.0,2.0,4.0,2.0,Role-Players
213,Pierre Oriola,FCB,34,15.9,2.7,4.5,0.604,0.2,0.4,0.5,0.9,1.5,0.558,1.1,2.1,1.4,2.2,3.6,0.6,0.3,0.2,6.5,PF,2.0726402,235,28,0.0,0.0,3.0,1.0,0.0,0.0,7.0,1.0,4.0,0.0,44.0,34.0,59.0,32.0,5.0,4.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,Big-Guys
214,Pierria Henry,CAJ,34,24.8,3.7,7.7,0.479,0.8,1.9,0.394,1.9,2.4,0.815,2.4,1.9,0.4,2.3,2.6,5.3,1.5,0.2,10.1,G,1.9812,197,28,1.0,0.0,3.0,2.0,4.0,0.0,20.0,6.0,29.0,14.0,59.0,31.0,68.0,40.0,17.0,6.0,18.0,9.0,3.0,2.0,5.0,1.0,1.0,0.0,Big-Guys
215,Quentin Serron,BBB,20,16.6,1.9,4.2,0.452,0.5,1.6,0.273,0.1,0.1,1.0,0.8,2.2,0.4,1.2,1.6,0.9,0.6,0.1,4.3,SG,1.88976,205,31,0.0,0.0,7.0,1.0,1.0,0.0,4.0,0.0,9.0,2.0,18.0,11.0,20.0,14.0,8.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,Role-Players
217,Rafa Martinez,MAN,35,14.9,2.1,4.5,0.465,1.3,2.9,0.447,0.9,1.1,0.821,0.9,1.4,0.2,1.1,1.3,1.0,0.5,0.0,6.5,SG,1.92024,198,38,4.0,2.0,2.0,1.0,11.0,4.0,5.0,1.0,24.0,12.0,11.0,5.0,26.0,16.0,27.0,8.0,10.0,2.0,13.0,8.0,3.0,2.0,1.0,1.0,Role-Players
219,Rasheed Sulaimon,ZAR,26,20.2,2.6,6.3,0.406,1.0,2.7,0.352,1.2,1.6,0.78,1.2,2.2,0.3,1.7,1.9,2.1,0.5,0.1,7.3,SG,1.9507201,194,26,0.0,0.0,11.0,3.0,10.0,2.0,13.0,4.0,16.0,6.0,29.0,15.0,20.0,7.0,18.0,7.0,6.0,3.0,6.0,3.0,7.0,5.0,3.0,2.0,Role-Players
220,Regimantas Miniotas,BBB,22,19.8,3.0,5.5,0.549,0.3,1.0,0.318,1.0,1.3,0.786,1.1,2.1,1.5,2.9,4.3,1.0,0.5,0.0,7.4,C,2.10312,210,24,0.0,0.0,4.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,41.0,23.0,41.0,28.0,6.0,0.0,1.0,1.0,4.0,4.0,6.0,1.0,1.0,0.0,Big-Guys
222,Robin Benzing,ZAR,34,20.7,3.2,8.1,0.39,1.5,4.4,0.338,2.4,3.0,0.802,1.0,2.1,0.4,2.1,2.5,0.7,0.8,0.4,10.2,SF,2.0726402,222,32,0.0,0.0,10.0,4.0,17.0,5.0,19.0,7.0,37.0,11.0,38.0,22.0,38.0,19.0,44.0,13.0,11.0,1.0,23.0,9.0,11.0,6.0,3.0,2.0,Playmakers
223,Rodrigo San Miguel,ZAR,23,21.6,1.5,3.7,0.405,0.9,2.6,0.35,0.3,0.7,0.375,1.4,2.3,0.3,2.5,2.9,3.7,0.9,0.0,4.1,PG,1.92024,194,36,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,14.0,6.0,8.0,5.0,8.0,4.0,18.0,4.0,0.0,0.0,7.0,1.0,4.0,2.0,4.0,3.0,Role-Players
224,Rokas Giedraitis,CAJ,34,30.0,4.6,9.7,0.473,1.9,4.9,0.389,2.4,2.9,0.835,1.0,1.7,0.9,2.3,3.3,1.6,1.3,0.1,13.5,SG,2.01168,179,28,5.0,1.0,23.0,14.0,26.0,8.0,7.0,4.0,44.0,16.0,53.0,26.0,63.0,40.0,20.0,6.0,7.0,3.0,21.0,11.0,14.0,2.0,14.0,5.0,Big-Guys
225,Rolands Smits,FCB,32,15.8,2.3,4.6,0.5,0.6,1.6,0.373,1.3,1.7,0.745,1.1,2.0,1.0,1.9,3.0,0.6,0.6,0.1,6.4,SF,1.85928,235,25,1.0,0.0,7.0,4.0,9.0,1.0,3.0,2.0,11.0,3.0,36.0,18.0,43.0,24.0,7.0,3.0,1.0,0.0,6.0,4.0,4.0,2.0,2.0,0.0,Big-Guys
226,Ruben Guerrero,UNI,34,14.3,1.7,2.5,0.671,0.0,0.0,0.0,0.4,0.6,0.682,0.7,2.1,1.3,2.0,3.3,0.5,0.5,0.3,3.8,F,2.1336,240,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,39.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
227,Rudy Fernandez,RMB,19,13.7,2.3,5.2,0.449,1.9,4.2,0.45,0.6,1.0,0.632,0.6,0.8,0.3,1.7,2.0,1.1,0.8,0.2,7.2,SG,2.01168,185,35,0.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,31.0,16.0,6.0,2.0,8.0,4.0,24.0,10.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,Role-Players
228,Sadiel Rojas,MUR,34,21.8,1.9,4.3,0.429,0.6,1.9,0.333,1.1,1.6,0.722,1.2,3.0,1.6,2.6,4.2,0.8,0.9,0.1,5.5,GF,1.9507201,190,31,1.0,0.0,15.0,4.0,11.0,6.0,3.0,0.0,13.0,5.0,25.0,11.0,36.0,22.0,5.0,4.0,1.0,0.0,11.0,2.0,8.0,2.0,2.0,0.0,Role-Players
229,Sam Van Rossom,VAL,31,21.3,2.7,5.4,0.506,1.5,3.2,0.459,1.2,1.3,0.925,1.5,1.3,0.1,1.3,1.4,3.6,0.7,0.1,8.1,PG,1.88976,180,34,0.0,0.0,6.0,3.0,2.0,1.0,4.0,0.0,30.0,12.0,29.0,20.0,25.0,15.0,31.0,14.0,4.0,1.0,8.0,4.0,1.0,0.0,3.0,2.0,Playmakers
231,Santiago Yusta,CAN,17,12.4,2.0,3.8,0.531,1.0,2.1,0.486,0.4,0.5,0.667,0.6,0.8,0.2,1.0,1.2,0.5,0.6,0.0,5.4,SF,2.01168,183,23,0.0,0.0,2.0,1.0,5.0,2.0,4.0,0.0,5.0,2.0,7.0,5.0,5.0,4.0,6.0,3.0,2.0,0.0,8.0,6.0,1.0,0.0,4.0,3.0,Role-Players
232,Sasu Salin,CAN,32,23.7,2.8,6.8,0.404,2.0,4.9,0.408,1.1,1.2,0.875,0.7,1.9,0.3,1.3,1.7,1.4,0.7,0.0,8.6,SG,1.92024,191,29,5.0,2.0,9.0,2.0,22.0,10.0,10.0,2.0,48.0,19.0,10.0,4.0,24.0,11.0,42.0,18.0,8.0,3.0,17.0,8.0,7.0,4.0,4.0,2.0,Playmakers
